Bauartnummer;Bauartname;Spielname;Datum;Zulassungsinhaber;Fehler;TR-Version;ZL-Daten
688;Rotamint Techno;;1995;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
689;Rototron Cobra;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
690;Gamebox Kombi;;1995;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
691;Swing;;1995;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
692;Runner;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
693;Rototron Magnum;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
698;Ariston 30/40;;1996;Ariston Apparatebau GmbH, 42551 Velbert, Deutschland;;TR;
699;Graf;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
700;Pinten Jumbo;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
701;Triomint Hyper Space;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
702;Oh La La;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
704;Winner Pro;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
705;Pub Winner;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
706;Rototron Classic;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
707;Venus Champ;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
710;Big Multi;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
711;Empire State Building;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
712;Rototron Goldene 100;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
713;Panther Take Easy;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
714;Rototron Target;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
715;Triomint Der Jackpot;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
716;Triple Joker;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
717;Crown Corsar Gold;;1996;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
720;Disc III;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
721;Casino Winner;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
722;Multi Multi Casino;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
723;Krone Gold;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
724;Racer Casino;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
728;Glory;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
729;XXL Casino;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
732;Rototron Super Dice;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
734;Take One;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
736;Unimint Safari Trophy;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
737;Big Jackpot;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
738;Disc Fun;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
739;Rototron Sonnenkrone;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
740;Take One Casino;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
741;Super Game;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
742;Goldmint Dart 501;;1996;NSM-LÖWEN ENTERTAINMENT GmbH, 55411 Bingen, Deutschland;;TR;
743;Ascot;;1996;Bally Wulff Automaten GmbH, 12045 Berlin, Deutschland;;TR;
745;Crown Maxi Action;;1996;Bergmann Automaten GmbH, 25462 Rellingen, Deutschland;;TR;
747;Winner Fun;;1996;adp Gauselmann GmbH, 32339 Espelkamp, Deutschland;;TR;
